 	Дата	Текст сообщения	Доставлен	Отклонен	Отправлен	Просрочен
12915	2017-04-12 10:54:53	еуые  {Имя} ваш бонуч  {Бонус} 	4	0	0	0
12916	2017-04-12 10:55:10	Добрый день,   {Имя} , Ваш бонус  {Бонус} 	0	3	0	0
12917	2017-04-12 11:00:48	добрый день,  {Имя} , ваш бонус {Бонус} тест	2	0	0	0
12921	2017-04-12 11:39:18	 {СМС} 	4	0	0	0
12923	2017-04-12 11:40:09	{СМС} 	2	0	0	0
12924	2017-04-12 11:44:43	{СМС}	93906	6206	29	11246
13083	2017-04-12 16:35:05	Вітаємо, {Имя} ! Вам нараховано {Бонус2} бонусів за участь у конкурсі на святкове відкриття магазину!	36	0	0	0
